features,model,mean_f1,std_f1
backbone_convnextv2,"MLP (512, 2048) lr=0.0001 do=0.5 act=GELU",0.984895317199534,0.015104682800465896
backbone_convnextv2,"MLP (2048, 512) lr=0.0001 do=0.5 act=ReLU",0.984895317199534,0.015104682800465896
backbone_convnextv2,"MLP (2048,) lr=0.0001 do=0.5 act=GELU",0.984895317199534,0.015104682800465896
concat_raw,"MLP (1024, 2048) lr=0.0001 do=0.0 act=GELU",0.984895317199534,0.015104682800465896
concat_raw,"MLP (1024, 512) lr=0.0001 do=0.5 act=ReLU",0.984895317199534,0.015104682800465896
concat_raw,"MLP (2048, 512) lr=0.0001 do=0.5 act=ReLU",0.984895317199534,0.015104682800465896
concat_raw,"MLP (2048, 1024) lr=0.0001 do=0.0 act=GELU",0.984895317199534,0.015104682800465896
backbone_convnextv2,"MLP (2048, 1024) lr=0.0001 do=0.0 act=GELU",0.984895317199534,0.015104682800465896
concat_pca37,"MLP (256, 128) lr=0.01 do=0.0 act=GELU",0.9848842848023653,0.00912769124553875
concat_pca113,"MLP (256,) lr=0.01 do=0.5 act=GELU",0.9848787658862805,0.009122172329453837
concat_pca113,"MLP (512, 512) lr=0.01 do=0.5 act=ReLU",0.9848787658862805,0.009122172329453837
concat_pca37,"MLP (512, 256) lr=0.0001 do=0.5 act=ReLU",0.9848787658862805,0.009122172329453837
backbone_convnextv2,"MLP (1024, 2048) lr=0.01 do=0.5 act=ReLU",0.9848787658862805,0.009122172329453837
concat_pca37,"MLP (128,) lr=0.01 do=0.0 act=ReLU",0.9848787658862805,0.009122172329453837
concat_pca37,LogReg C=10,0.9848662485856423,0.015133751414357743
concat_pca37,LogReg C=1,0.9848662485856423,0.015133751414357743
concat_pca37,SVM C=10  kernel=linear,0.9848662485856423,0.015133751414357743
concat_pca37,LogReg C=100,0.9848662485856423,0.015133751414357743
concat_pca37,SVM C=0.01  kernel=linear,0.9848662485856423,0.015133751414357743
concat_pca113,LogReg C=0.01,0.9848662485856423,0.015133751414357743
concat_pca37,SVM C=1  kernel=linear,0.9848662485856423,0.015133751414357743
concat_pca37,LogReg C=0.1,0.9848662485856423,0.015133751414357743
concat_pca37,"MLP (512, 512) lr=0.0001 do=0.0 act=GELU",0.9848662485856423,0.015133751414357743
concat_pca113,"MLP (128,) lr=0.01 do=0.5 act=GELU",0.9848662485856423,0.015133751414357743
concat_pca37,"MLP (128, 128) lr=0.01 do=0.5 act=GELU",0.9848662485856423,0.015133751414357743
concat_pca37,LogReg C=0.01,0.9848662485856423,0.015133751414357743
concat_pca37,"MLP (256,) lr=0.01 do=0.5 act=GELU",0.9848662485856423,0.015133751414357743
concat_pca166,LogReg C=0.01,0.9848662485856423,0.015133751414357743
concat_pca113,"MLP (128, 128) lr=0.0001 do=0.5 act=ReLU",0.9847680537598102,0.015231946240189753
concat_pca166,"MLP (128, 512) lr=0.0001 do=0.5 act=GELU",0.9819766038256768,5.9324318035791634e-05
concat_pca166,"MLP (128, 128) lr=0.0001 do=0.0 act=ReLU",0.9819626549113551,4.015973584803323e-05
concat_pca166,"MLP (128, 128) lr=0.0001 do=0.0 act=GELU",0.9819626549113551,4.015973584803323e-05
concat_pca113,"MLP (256, 128) lr=0.0001 do=0.5 act=ReLU",0.9819611754428866,0.006062776652921764
concat_pca37,"MLP (128,) lr=0.01 do=0.5 act=GELU",0.9819533519410875,0.006070600154720995
concat_raw,"MLP (2048,) lr=0.01 do=0.0 act=GELU",0.9819452408068414,0.00606248902047507
concat_pca166,"MLP (256, 256) lr=0.0001 do=0.0 act=GELU",0.9819402584415481,0.006083693654260314
concat_pca166,"MLP (256,) lr=0.0001 do=0.5 act=GELU",0.9819402584415481,0.006083693654260314
concat_pca166,"MLP (256,) lr=0.0001 do=0.5 act=ReLU",0.9819402584415481,0.006083693654260314
concat_pca166,"MLP (256,) lr=0.0001 do=0.0 act=GELU",0.9819402584415481,0.006083693654260314
concat_pca37,"MLP (256,) lr=0.0001 do=0.0 act=GELU",0.9819353157243642,0.01207666032353999
concat_pca113,"MLP (128, 256) lr=0.01 do=0.5 act=ReLU",0.9819353157243642,0.01207666032353999
concat_raw,"MLP (2048,) lr=0.01 do=0.0 act=ReLU",0.9819353157243642,0.01207666032353999
concat_raw,"MLP (1024, 2048) lr=0.01 do=0.5 act=GELU",0.9819353157243642,0.01207666032353999
concat_pca113,"MLP (256, 128) lr=0.0001 do=0.5 act=GELU",0.9819353157243642,0.01207666032353999
backbone_convnextv2,"MLP (512, 512) lr=0.01 do=0.0 act=GELU",0.9819324046422122,0.012068533573522056
concat_pca113,"MLP (256, 128) lr=0.01 do=0.5 act=GELU",0.9819297968082792,0.012071141407455079
concat_pca113,"MLP (256, 128) lr=0.0001 do=0.0 act=GELU",0.9819297968082792,0.012071141407455079
concat_pca113,kNN k=10 cosine,0.9819297968082792,0.012071141407455079
concat_pca113,"MLP (512,) lr=0.01 do=0.5 act=ReLU",0.9819297968082792,0.012071141407455079
concat_pca166,"MLP (128, 128) lr=0.01 do=0.5 act=ReLU",0.9819297968082792,0.012071141407455079
concat_pca37,"MLP (256,) lr=0.01 do=0.0 act=GELU",0.9819297968082792,0.012071141407455079
concat_pca113,"MLP (128, 256) lr=0.0001 do=0.0 act=GELU",0.9819297968082792,0.012071141407455079
concat_pca113,"MLP (256, 128) lr=0.0001 do=0.0 act=ReLU",0.9819297968082792,0.012071141407455079
concat_pca37,kNN k=10 euclidean,0.9819297968082792,0.012071141407455079
concat_pca37,"MLP (256,) lr=0.01 do=0.0 act=ReLU",0.9819297968082792,0.012071141407455079
concat_pca37,"MLP (128, 256) lr=0.01 do=0.5 act=ReLU",0.9819297968082792,0.012071141407455079
concat_pca37,"MLP (128,) lr=0.01 do=0.5 act=ReLU",0.9819297968082792,0.012071141407455079
concat_pca166,SVM C=1  gamma=scale  kernel=rbf,0.9819279086431527,0.006029509853187842
concat_pca113,SVM C=1  gamma=scale  kernel=rbf,0.9819279086431527,0.006029509853187842
meta_convnext+bio+color,"MLP (512, 512) lr=0.01 do=0.0 act=ReLU",0.9819251030094402,0.018074896990559697
concat_pca37,"MLP (256,) lr=0.01 do=0.5 act=ReLU",0.9819251030094402,0.018074896990559697
meta_convnext+bio+color,"MLP (256, 128) lr=0.01 do=0.0 act=GELU",0.9819251030094402,0.018074896990559697
concat_pca113,"MLP (128,) lr=0.01 do=0.0 act=ReLU",0.9819095994757472,0.006047819020593315
concat_pca37,"MLP (128, 512) lr=0.0001 do=0.0 act=ReLU",0.9819069916418142,0.006050426854526392
