features,model,mean_f1,std_f1
meta_dino+bio+color,"MLP (128,) lr=0.0001 do=0.2 act=ReLU",0.9699384760703389,7.982066951467415e-05
meta_dino+bio+color,"MLP (64, 128, 256) lr=0.01 do=0.0 act=GELU",0.9699302133749503,7.155797412616849e-05
meta_dino+bio+color,"MLP (64, 128, 64) lr=0.01 do=0.0 act=GELU",0.9699302133749503,7.155797412616849e-05
meta_dino+bio+color,"MLP (256, 128, 64) lr=0.01 do=0.0 act=GELU",0.9699254431776011,0.006100446220074107
meta_dino+bio+color,"MLP (256, 128, 32) lr=0.001 do=0.0 act=GELU",0.9699219193220842,6.32639212599928e-05
meta_dino+bio+color,"MLP (256, 128, 256) lr=0.001 do=0.2 act=GELU",0.9699219193220842,6.32639212599928e-05
meta_dino+bio+color,"MLP (128, 32, 256) lr=0.01 do=0.2 act=GELU",0.9699219193220842,6.32639212599928e-05
meta_dino+bio+color,"MLP (128, 256, 32) lr=0.01 do=0.2 act=GELU",0.9699219193220842,6.32639212599928e-05
meta_dino+bio+color,"MLP (256, 128, 256) lr=0.001 do=0.0 act=GELU",0.9699219193220842,6.32639212599928e-05
meta_dino+bio+color,"MLP (256, 64, 256) lr=0.01 do=0.2 act=GELU",0.9699219193220842,6.32639212599928e-05
meta_dino+bio+color,"MLP (128, 32, 32) lr=0.01 do=0.0 act=GELU",0.9698777823731989,1.9126972374716722e-05
meta_dino+bio+color,"MLP (256, 256, 128) lr=0.01 do=0.2 act=ReLU",0.9698754219557669,0.006108883942240961
meta_dino+bio+color,"MLP (128, 32, 256) lr=0.0001 do=0.2 act=ReLU",0.9698561315016657,6.549710259751151e-05
meta_dino+bio+color,"MLP (64, 128, 32) lr=0.01 do=0.0 act=GELU",0.9697749454820017,4.244831071714694e-05
meta_dino+bio+color,"MLP (32, 256, 32) lr=0.01 do=0.0 act=GELU",0.9672121363867805,0.0035672972901341082
meta_dino+bio+color,"MLP (256, 256) lr=0.01 do=0.2 act=GELU",0.9669522875960903,0.0029220148083324844
meta_dino+bio+color,"MLP (256, 256, 64) lr=0.001 do=0.2 act=GELU",0.966944464094291,0.002914191306533198
meta_dino+bio+color,"MLP (256, 128, 64) lr=0.001 do=0.2 act=GELU",0.966944464094291,0.002914191306533198
