iter	MultiClass
0	1.957901597
1	1.725039749
2	1.551295477
3	1.394712557
4	1.248776012
5	1.159035158
6	1.065490436
7	0.9889503918
8	0.9143675821
9	0.8476494014
10	0.7965517511
11	0.742855268
12	0.6982392748
13	0.656768877
14	0.61905432
15	0.5842184445
16	0.5583253399
17	0.5291398622
18	0.5029993195
19	0.4781017133
20	0.4526263902
21	0.4325478123
22	0.412532368
23	0.3955463172
24	0.3806628532
25	0.3664363415
26	0.3534602458
27	0.3402253177
28	0.3275445072
29	0.3136696473
30	0.3022360466
31	0.2927312984
32	0.2838577151
33	0.2737395247
34	0.2657382474
35	0.2576169298
36	0.2507950141
37	0.2432244815
38	0.2358408489
39	0.2282465944
40	0.2216427036
41	0.2161485628
42	0.2093059419
43	0.2020369081
44	0.1967896215
45	0.1925618222
46	0.1883540339
47	0.183076687
48	0.1783658903
49	0.1741610972
50	0.1702839182
51	0.1675937449
52	0.1634123265
53	0.1595417137
54	0.1560288587
55	0.1528894287
56	0.1497650503
57	0.146263451
58	0.1433365884
59	0.1403952584
60	0.1378599911
61	0.1350930623
62	0.1324378482
63	0.1291852507
64	0.1273964135
65	0.1254531418
66	0.1237528782
67	0.1214144195
68	0.1194488439
69	0.1169670041
70	0.1161539951
71	0.1139037435
72	0.1124820614
73	0.1102217116
74	0.1079705326
75	0.1065004684
76	0.1056265894
77	0.1040261018
78	0.1024855724
79	0.1005125754
80	0.09968499702
81	0.09863822188
82	0.09661227611
83	0.09563387762
84	0.09514010265
85	0.09420327634
86	0.09317822529
87	0.09221372624
88	0.0910175033
89	0.0903178608
90	0.0896832007
91	0.08894061043
92	0.08863224654
93	0.08753641949
94	0.08644097598
95	0.0855503266
96	0.08451832592
97	0.08348559297
98	0.08261143025
99	0.08225904522
100	0.08155465507
101	0.08074435969
102	0.08011397087
103	0.07935784628
104	0.07872596538
105	0.07790759075
106	0.07700285104
107	0.07639880594
108	0.07572470811
109	0.07524482771
110	0.07450067829
111	0.0735448362
112	0.07267870682
113	0.07173768644
114	0.07132164781
115	0.07097172459
116	0.07054553592
117	0.06973990419
118	0.06924062781
119	0.06887221625
120	0.06856500607
121	0.06829050624
122	0.06780338159
123	0.06712923166
124	0.06662139817
125	0.06631678085
126	0.06597736251
127	0.06553402092
128	0.06536430002
129	0.06456223891
130	0.06419669138
131	0.06367610503
132	0.06306828976
133	0.06261601994
134	0.06233218677
135	0.06173148806
136	0.06149001135
137	0.06137212275
138	0.06101539424
139	0.0607898073
140	0.06047936054
141	0.059867126
142	0.05921338698
143	0.05881662727
144	0.05859220518
145	0.05854506089
146	0.05807686087
147	0.05738002807
148	0.05682277588
149	0.05634633553
150	0.05571624917
151	0.05529599276
152	0.05509888265
153	0.0545389731
154	0.05416179052
155	0.05390409538
156	0.05375188368
157	0.05356316144
158	0.05320634476
159	0.05302195667
160	0.05266416784
161	0.05252513425
162	0.05207948295
163	0.05180644076
164	0.05170715643
165	0.05123519366
166	0.05072739785
167	0.05036450412
168	0.04971886395
169	0.04953758104
170	0.04902971951
171	0.04898580274
172	0.04857942452
173	0.0481914818
174	0.0480387226
175	0.04785872397
176	0.04731772531
177	0.04701232851
178	0.04665587055
179	0.04627545863
180	0.04582656461
181	0.04544449799
182	0.04514920459
183	0.04476340766
184	0.0446263802
185	0.04437006372
186	0.04419675573
187	0.04399588868
188	0.04378312472
189	0.04348831325
190	0.04329551946
191	0.04311940087
192	0.04287407025
193	0.04266292873
194	0.04243062751
195	0.04211669901
196	0.041968762
197	0.04189280087
198	0.04150490387
199	0.04131128415
200	0.04105087394
201	0.04067499417
202	0.04025717289
203	0.03995367172
204	0.03946181402
205	0.03935023009
206	0.03918938152
207	0.0389243643
208	0.03873765946
209	0.03857471159
210	0.03817526292
211	0.03779480274
212	0.03758702735
213	0.03733170072
214	0.03713084019
215	0.03699704733
216	0.03679611957
217	0.03649102499
218	0.03629823571
219	0.03599724738
220	0.0356984043
221	0.0355128532
222	0.0353948501
223	0.03507698719
224	0.03485508617
225	0.03470563439
226	0.03456162298
227	0.03437035487
228	0.03409298437
229	0.03388666273
230	0.03351257459
231	0.03341369204
232	0.03319181136
233	0.03294945148
234	0.03274173003
235	0.03266069575
236	0.03247229964
237	0.03221481519
238	0.03204960903
239	0.03195790831
240	0.03189404389
241	0.03169112666
242	0.03155859212
243	0.03143895975
244	0.03130586459
245	0.03119937196
246	0.03107285006
247	0.03085881028
248	0.03077595362
249	0.03062166435
250	0.03045019315
251	0.03022888522
252	0.03002802325
253	0.02977145896
254	0.02969951706
255	0.02944258415
256	0.02937748578
257	0.02921284543
258	0.0289978591
259	0.0289361991
260	0.02890931627
261	0.02885346286
262	0.02882315385
263	0.02871929651
264	0.02850829726
265	0.02843068589
266	0.02835760375
267	0.02829029484
268	0.02818547147
269	0.02811097471
270	0.02807926049
271	0.02805082216
272	0.02793288345
273	0.02790421939
274	0.02782106265
275	0.02778916862
276	0.02774012738
277	0.02763256787
278	0.02746836934
279	0.02741329962
280	0.0272113396
281	0.02707309921
282	0.0269441832
283	0.02685265301
284	0.02671721934
285	0.02653882079
286	0.02635391034
287	0.02624563274
288	0.02600446719
289	0.02596926091
290	0.02580763358
291	0.02566954083
292	0.02562632208
293	0.02547239217
294	0.02540676212
295	0.02532169163
296	0.0252489983
297	0.02509689769
298	0.02498779934
299	0.02490592351
300	0.02485801001
301	0.02462089755
302	0.02454856463
303	0.0244937452
304	0.02428479254
305	0.02423172436
306	0.02411906545
307	0.02400074782
308	0.02394870677
309	0.02383877269
310	0.02372491381
311	0.02367926251
312	0.02349243627
313	0.02329281897
314	0.02318234568
315	0.02315780254
316	0.02310738069
317	0.02298853903
318	0.02290567328
319	0.02279574628
320	0.02274428776
321	0.02267593228
322	0.02261611723
323	0.02251902082
324	0.02249264874
325	0.02240625638
326	0.02235250296
327	0.02229823984
328	0.02213957812
329	0.0220022317
330	0.02196568981
331	0.02191275443
332	0.02185715175
333	0.02179857101
334	0.02176371065
335	0.02162104859
336	0.02157361494
337	0.02152774033
338	0.02144486063
339	0.02141143876
340	0.02134622577
341	0.02130319174
342	0.0212221234
343	0.02118740486
344	0.02110649173
345	0.02103252151
346	0.02099482144
347	0.02093329292
348	0.02087150468
349	0.02075547282
350	0.02067677372
351	0.02060139267
352	0.02045071141
353	0.02038725132
354	0.02033117774
355	0.02029892528
356	0.02021286041
357	0.02013191159
358	0.0200554387
359	0.02001910003
360	0.01995955695
361	0.01985009952
362	0.01981726998
363	0.01969007755
364	0.01962782792
365	0.01952897634
366	0.01949657593
367	0.01945883066
368	0.01932584951
369	0.01929312007
370	0.01921710424
371	0.01913313062
372	0.01907207026
373	0.01902713086
374	0.01894522123
375	0.01881105658
376	0.01874379168
377	0.01862046272
378	0.01858280423
379	0.01853014352
380	0.01850791528
381	0.01844270748
382	0.01839914854
383	0.01834223078
384	0.01830558181
385	0.01827901532
386	0.01820814737
387	0.0181576402
388	0.01812940152
389	0.0180650602
390	0.01804040558
391	0.01797661849
392	0.01792331125
393	0.01787618538
394	0.01778567863
395	0.0177382899
396	0.01771661452
397	0.01766125677
398	0.01755213291
399	0.01747661258
400	0.01744003346
401	0.01741388828
402	0.01733283546
403	0.01728406724
404	0.01721267023
405	0.01715568978
406	0.01709438816
407	0.01706286589
408	0.01697015606
409	0.01686539438
410	0.01681799571
411	0.01673416931
412	0.0166896318
413	0.01663397526
414	0.01661626108
415	0.01656812142
416	0.01649012195
417	0.01646690996
418	0.01636149768
419	0.01631945017
420	0.01627898194
421	0.01625713222
422	0.01623593741
423	0.01619486406
424	0.01613607422
425	0.01610675083
426	0.01606724025
427	0.01605331745
428	0.01604615285
429	0.01598586209
430	0.01597234382
431	0.01589332146
432	0.01587404307
433	0.01585347352
434	0.01576525802
435	0.01573864788
436	0.01573320954
437	0.01566224801
438	0.0156004666
439	0.01554625167
440	0.01552668428
441	0.01549924106
442	0.0154436526
443	0.01540999028
444	0.01536336562
445	0.01534190313
446	0.01528867028
447	0.01524991106
448	0.01521700578
449	0.0151559681
450	0.01510856973
451	0.01507553317
452	0.0149957036
453	0.01496197563
454	0.01492270559
455	0.01488678691
456	0.01483287645
457	0.01477636347
458	0.01476598599
459	0.01471712238
460	0.01465311221
461	0.01456883461
462	0.01452241622
463	0.01448740407
464	0.01446737592
465	0.01442500796
466	0.0143863996
467	0.01436858102
468	0.01434051398
469	0.01431724644
470	0.01428376583
471	0.01426072108
472	0.01424052662
473	0.01422755401
474	0.01418501764
475	0.01412375586
476	0.01409779686
477	0.01404320568
478	0.01401788319
479	0.01399725746
480	0.01397268237
481	0.01393720972
482	0.01390890931
483	0.01389189407
484	0.0138727295
485	0.01382185634
486	0.01378238936
487	0.01370996135
488	0.0136838989
489	0.01364255259
490	0.01361582233
491	0.01360125542
492	0.01355917174
493	0.01351838542
494	0.01346551419
495	0.0133941669
496	0.01335345022
497	0.01334025575
498	0.01331153934
499	0.01327912305
