model,mean_f1,std_f1
"MLP (2048, 1024) lr=0.0001 do=0.0 act=GELU",0.9888181302459671,0.001059051337801431
"MLP (2048, 1024) lr=0.0001 do=0.4 act=GELU",0.9888140464087345,0.0010631351750340912
"MLP (2048, 2048) lr=0.0001 do=0.4 act=GELU",0.9888108169997654,0.0005305613234111162
"MLP (2048, 2048) lr=0.0001 do=0.4 act=ReLU",0.9888094932640825,0.0005347373316738624
"MLP (2048, 2048) lr=0.0001 do=0.2 act=ReLU",0.9888094932640825,0.0005347373316738624
"MLP (1024, 512) lr=0.0001 do=0.2 act=ReLU",0.9888087116327049,0.0005366698873386921
"MLP (1024, 512) lr=0.0001 do=0.0 act=ReLU",0.9888087116327049,0.0005366698873386921
"MLP (1024, 1024) lr=0.0001 do=0.0 act=GELU",0.9888071767779745,0.0010672410791471854
"MLP (1024, 1024) lr=0.0001 do=0.2 act=GELU",0.9888071767779745,0.0010672410791471854
"MLP (2048, 1024) lr=0.0001 do=0.2 act=GELU",0.9885521406064341,0.0007930616982683714
"MLP (1024, 2048) lr=0.01 do=0.4 act=GELU",0.9885513660441223,0.000815919362261941
"MLP (2048, 1024) lr=0.0001 do=0.2 act=ReLU",0.9885481463768719,0.0007972351431715929
"MLP (2048, 1024) lr=0.0001 do=0.0 act=ReLU",0.9885481463768719,0.0007972351431715929
"MLP (2048, 1024) lr=0.0001 do=0.4 act=ReLU",0.9885462095033796,0.00026739511388851334
"MLP (2048, 2048) lr=0.0001 do=0.0 act=GELU",0.9885455480240539,0.0002652923476996749
"MLP (1024, 1024) lr=0.0001 do=0.0 act=ReLU",0.9885426853627477,0.00026938933160081113
"MLP (1024, 1024) lr=0.0001 do=0.2 act=ReLU",0.9885419763568388,0.0002658168166064234
"MLP (1024, 1024) lr=0.0001 do=0.4 act=ReLU",0.988541274552927,0.0002665186205182968
"MLP (1024, 512) lr=0.01 do=0.4 act=GELU",0.9885347561980167,0.0008064312875629143
"MLP (1024, 1024) lr=0.01 do=0.4 act=ReLU",0.9882715479703572,0.0010642004321191334
"MLP (512, 512) lr=0.01 do=0.0 act=GELU",0.9882698307141442,1.520123129150619e-06
"MLP (512, 512) lr=0.01 do=0.2 act=ReLU",0.9880019545881256,0.003999167458392294
"MLP (512,) lr=0.01 do=0.4 act=ReLU",0.9880004778495977,0.0002707768735673577
"MLP (2048, 512) lr=0.01 do=0.4 act=ReLU",0.9879993494731028,0.0002709073960364683
"MLP (512, 2048) lr=0.01 do=0.4 act=ReLU",0.9879923504122298,0.001340324773798529
"MLP (2048, 512) lr=0.01 do=0.4 act=GELU",0.9877565935920201,0.000549858022507177
