model,mean_f1,std_f1
"MLP (2048, 512) lr=0.0001 do=0.0 act=ReLU",0.969280528146808,0.01187677039189916
"MLP (1024,) lr=0.01 do=0.5 act=ReLU",0.969279145241337,0.012152028786001523
kNN k=20 cosine,0.9692575737224471,0.0036343766004178213
"MLP (1024, 2048) lr=0.0001 do=0.0 act=GELU",0.9692212615612532,0.014790079236590759
"MLP (2048, 2048) lr=0.0001 do=0.0 act=GELU",0.9692084004318602,0.014777218107197732
"MLP (512, 2048) lr=0.01 do=0.5 act=ReLU",0.9691857325339085,0.014656886161716676
"MLP (2048,) lr=0.0001 do=0.0 act=ReLU",0.9690325344694402,0.014843380584557031
"MLP (512,) lr=0.01 do=0.0 act=GELU",0.9681537545315871,0.01324214837081883
"MLP (1024, 2048) lr=0.01 do=0.0 act=ReLU",0.9680024492020816,0.01331647635610883
"MLP (2048, 2048) lr=0.0001 do=0.5 act=GELU",0.9678872533472449,0.01078705811356967
"MLP (2048, 2048) lr=0.01 do=0.5 act=ReLU",0.9678598088794976,0.007797195585927896
"MLP (2048, 512) lr=0.0001 do=0.0 act=GELU",0.9678115812448149,0.013345717293892168
"MLP (1024, 512) lr=0.01 do=0.5 act=GELU",0.967789578947023,0.015966008256475706
"MLP (512, 2048) lr=0.01 do=0.5 act=GELU",0.9674374248324815,0.01915137560364416
"MLP (512,) lr=0.01 do=0.5 act=ReLU",0.9673656753466844,0.013892727307882713
"MLP (2048, 512) lr=0.01 do=0.0 act=ReLU",0.9667812069251722,0.00921120552866761
kNN k=15 euclidean,0.9666411220380673,0.011943023366899841
"MLP (2048, 1024) lr=0.01 do=0.5 act=ReLU",0.9665962498515704,0.014432976764159444
kNN k=20 euclidean,0.9665787249079922,0.009192996646800622
"MLP (2048, 2048) lr=0.01 do=0.5 act=GELU",0.9664623482032098,0.00964751969265204
"MLP (2048, 1024) lr=0.0001 do=0.0 act=GELU",0.9664278894732163,0.012246421987598344
"MLP (2048,) lr=0.01 do=0.5 act=ReLU",0.9655995034584804,0.010700769955542921
"MLP (1024, 512) lr=0.01 do=0.0 act=GELU",0.9652950919035069,0.010723308079478522
"MLP (2048, 2048) lr=0.01 do=0.0 act=GELU",0.9638924809358828,0.017708026420789058
"MLP (512, 2048) lr=0.01 do=0.0 act=GELU",0.9637423501558234,0.012293918524856506
"MLP (2048,) lr=0.01 do=0.0 act=GELU",0.9635607978672209,0.015113974341797676
"MLP (512, 2048) lr=0.01 do=0.0 act=ReLU",0.9628142297019429,0.00812091884684335
"MLP (2048, 512) lr=0.01 do=0.5 act=ReLU",0.9627257591376002,0.02386304129852551
"MLP (512, 1024) lr=0.01 do=0.0 act=ReLU",0.9623420071570798,0.01905635849553239
"MLP (1024, 1024) lr=0.01 do=0.0 act=GELU",0.9619334893425078,0.019353377485180845
