model,params,params_json,f1
MLP,"layers=(512, 1024, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9906750201910877
MLP,"layers=(512, 256)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(512, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906749632684797
MLP,"layers=(512, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906749040065866
MLP,"layers=(512, 256)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512, 256)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9906749040065866
MLP,"layers=(512, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906749040065866
MLP,"layers=(512, 512, 1024)  act=ReLU  drop=0.4  lr=0.01","{""layers"": ""(512, 512, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906749040065865
SVM,C=1  gamma=scale  kernel=sigmoid,"{""C"": 1, ""gamma"": ""scale"", ""kernel"": ""sigmoid""}",0.9906748494864881
SVM,C=1  gamma=auto  kernel=sigmoid,"{""C"": 1, ""gamma"": ""auto"", ""kernel"": ""sigmoid""}",0.9906748494864881
MLP,"layers=(256, 1024, 256)  act=ReLU  drop=0.0  lr=0.01","{""layers"": ""(256, 1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.01}",0.9906744298482177
MLP,"layers=(512, 512)  act=GELU  drop=0.0  lr=0.01","{""layers"": ""(512, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.01}",0.9906738891223666
MLP,"layers=(1024, 1024)  act=ReLU  drop=0.4  lr=0.01","{""layers"": ""(1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906737775246993
MLP,"layers=(512, 512, 256)  act=ReLU  drop=0.2  lr=0.01","{""layers"": ""(512, 512, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.01}",0.9906663703572011
MLP,"layers=(256, 512, 1024)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(256, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906662494309055
