model,mean_f1,std_f1
"MLP (512, 1024) lr=0.01 do=0.5 act=ReLU",0.8874652005769312,0.011169568810304453
"MLP (512, 1024) lr=0.0001 do=0.0 act=ReLU",0.8866853068590985,0.01941485841343893
"MLP (1024, 512) lr=0.01 do=0.5 act=GELU",0.8866259435253925,0.004360750539720959
"MLP (2048, 2048) lr=0.0001 do=0.5 act=GELU",0.8864472566291703,0.016468866056815468
"MLP (1024,) lr=0.01 do=0.5 act=GELU",0.88628378937854,0.009866942299157466
"MLP (1024,) lr=0.0001 do=0.5 act=GELU",0.8859703540211465,0.017118226046816398
"MLP (1024, 512) lr=0.0001 do=0.0 act=GELU",0.8855510647737432,0.0072315146525031015
"MLP (512,) lr=0.0001 do=0.0 act=ReLU",0.8852529177219461,0.01065528267978516
"MLP (2048, 512) lr=0.01 do=0.5 act=ReLU",0.8849541486932839,0.02074514556282475
"MLP (2048, 1024) lr=0.0001 do=0.5 act=ReLU",0.8849167716190206,0.013019276915627542
"MLP (2048, 512) lr=0.01 do=0.5 act=GELU",0.8845093741195043,0.017439182615128668
LogReg C=0.001,0.8841839719821727,0.018774762357390062
"MLP (2048, 512) lr=0.0001 do=0.5 act=GELU",0.883612654062385,0.019613329790569844
"MLP (2048, 1024) lr=0.0001 do=0.5 act=GELU",0.8823208436380598,0.02098409378547711
"MLP (512,) lr=0.0001 do=0.0 act=GELU",0.8821074748828416,0.018586064670727098
"MLP (2048, 1024) lr=0.01 do=0.0 act=GELU",0.8802799477264209,0.0011399410133011711
"MLP (1024, 1024) lr=0.0001 do=0.0 act=GELU",0.8790109759305278,0.014014419574358283
"MLP (2048,) lr=0.01 do=0.5 act=GELU",0.8788376875835261,0.010245812806941701
"MLP (2048, 1024) lr=0.01 do=0.5 act=GELU",0.8787418826519184,0.016226378823385124
"MLP (1024, 512) lr=0.0001 do=0.5 act=ReLU",0.8785666933104334,0.005849784837306915
"MLP (1024,) lr=0.01 do=0.5 act=ReLU",0.878098962272505,0.013193469364520594
"MLP (1024, 1024) lr=0.01 do=0.5 act=ReLU",0.8779994108101765,0.02098302883794939
"MLP (512, 2048) lr=0.0001 do=0.0 act=GELU",0.877927887280614,0.015169913309501626
"MLP (1024,) lr=0.01 do=0.0 act=ReLU",0.8776869411260728,0.0214090698185615
"MLP (1024, 2048) lr=0.0001 do=0.5 act=ReLU",0.8775146448388182,0.015989886624754424
"MLP (1024, 2048) lr=0.0001 do=0.0 act=GELU",0.8774815067392021,0.020112168059230606
"MLP (1024, 1024) lr=0.01 do=0.5 act=GELU",0.8773582491247829,0.007858208327421456
"MLP (512, 512) lr=0.0001 do=0.0 act=ReLU",0.877057295519472,0.02130567531554578
"MLP (512, 512) lr=0.01 do=0.5 act=GELU",0.8763535100325655,0.030388694968760455
"MLP (512,) lr=0.0001 do=0.5 act=ReLU",0.8759372247237793,0.017328707113607844
"MLP (1024, 2048) lr=0.01 do=0.5 act=GELU",0.8754443811101953,0.004265767668274745
"MLP (512, 2048) lr=0.01 do=0.5 act=ReLU",0.875073102656619,0.015891841009200547
"MLP (2048, 1024) lr=0.01 do=0.5 act=ReLU",0.874564060820398,0.009215188453548961
"MLP (512,) lr=0.0001 do=0.5 act=GELU",0.8742271502183071,0.018599375945937746
"MLP (1024, 2048) lr=0.0001 do=0.5 act=GELU",0.8737078144709458,0.017437568182953778
"MLP (2048, 2048) lr=0.01 do=0.5 act=ReLU",0.8733769572603334,0.0023750510630182187
"MLP (1024, 2048) lr=0.01 do=0.5 act=ReLU",0.8722710467606857,0.011757022202848355
SVM C=100  gamma=scale  kernel=rbf,0.8710746242004388,0.02076298328913656
SVM C=10  gamma=auto  kernel=rbf,0.8700910874483572,0.027293457364248208
"MLP (1024, 1024) lr=0.0001 do=0.5 act=ReLU",0.8697782877875253,0.004506466902921447
SVM C=10  gamma=scale  kernel=rbf,0.869553210270084,0.022284397219491325
SVM C=100  gamma=auto  kernel=rbf,0.8684243539327584,0.030773614386012338
"MLP (1024, 1024) lr=0.0001 do=0.5 act=GELU",0.8676823760809893,0.00894111358003885
"MLP (1024, 512) lr=0.0001 do=0.5 act=GELU",0.8676564724935505,0.006695884155642706
"MLP (512, 1024) lr=0.0001 do=0.0 act=GELU",0.8673639081388926,0.00957933991481924
"MLP (2048, 512) lr=0.01 do=0.0 act=GELU",0.8669270556811919,0.015334596533318867
"MLP (1024, 512) lr=0.01 do=0.0 act=GELU",0.8640834419162419,0.005275884706304912
"MLP (512, 2048) lr=0.0001 do=0.5 act=ReLU",0.8639364322892887,0.005119201878909574
"MLP (1024,) lr=0.01 do=0.0 act=GELU",0.8637600858808734,0.02492173153603178
"MLP (2048, 2048) lr=0.01 do=0.0 act=GELU",0.8628388006847136,0.0036505821929658233
"MLP (2048, 1024) lr=0.01 do=0.0 act=ReLU",0.8615820472317841,0.0031120820380586833
"MLP (512,) lr=0.01 do=0.0 act=ReLU",0.8614422999872449,0.03758634488713447
"MLP (512, 2048) lr=0.0001 do=0.5 act=GELU",0.8609157782284917,0.007028710932025672
"MLP (512, 512) lr=0.0001 do=0.0 act=GELU",0.8608845570712331,0.016558436640284446
"MLP (512, 2048) lr=0.01 do=0.5 act=GELU",0.8603084202725074,0.013674690413936985
"MLP (1024, 1024) lr=0.01 do=0.0 act=GELU",0.8587660205003642,0.013865792041229952
SVM C=0.01  kernel=linear,0.8563236974479027,0.018493784693079884
"MLP (512, 2048) lr=0.01 do=0.0 act=ReLU",0.8562988434041029,0.02011168494772042
"MLP (512, 1024) lr=0.01 do=0.0 act=GELU",0.8562576381141016,0.004953154638992596
SVM C=0.1  kernel=linear,0.8553677219135084,0.026082782463193177
SVM C=1  kernel=linear,0.8553677219135084,0.026082782463193177
SVM C=100  kernel=linear,0.8553677219135084,0.026082782463193177
SVM C=10  kernel=linear,0.8553677219135084,0.026082782463193177
"MLP (512, 1024) lr=0.0001 do=0.5 act=ReLU",0.8547143967662876,0.006140924686123483
"MLP (512, 1024) lr=0.0001 do=0.5 act=GELU",0.8546746484501984,0.0017059445235046988
SVM C=1  gamma=scale  kernel=rbf,0.8546108635733962,0.023185224898703727
"MLP (2048, 512) lr=0.01 do=0.0 act=ReLU",0.8535356996391218,0.006410147344113715
"MLP (1024, 512) lr=0.01 do=0.0 act=ReLU",0.8520206654226559,0.014725174173317812
"MLP (512, 2048) lr=0.01 do=0.0 act=GELU",0.8481529196563002,0.006450351856317482
"MLP (512, 512) lr=0.0001 do=0.5 act=ReLU",0.8479912215452834,0.009245763839804133
"MLP (1024, 2048) lr=0.01 do=0.0 act=GELU",0.8479235987494376,0.017196328737688782
"MLP (512, 512) lr=0.01 do=0.0 act=GELU",0.8479227447111483,0.009543873057485275
"MLP (1024, 1024) lr=0.01 do=0.0 act=ReLU",0.8468339251525213,0.002888970479565711
"MLP (512, 512) lr=0.0001 do=0.5 act=GELU",0.844388327713198,0.008460181486751595
"MLP (2048,) lr=0.01 do=0.0 act=GELU",0.8440115987067762,0.023201603451610986
"MLP (512, 512) lr=0.01 do=0.0 act=ReLU",0.8407207884165564,0.013770780444302189
"MLP (2048,) lr=0.01 do=0.0 act=ReLU",0.8388916444640095,0.02352433836804174
SVM C=1  gamma=auto  kernel=rbf,0.8368157749506624,0.03740644860134118
"MLP (1024, 2048) lr=0.01 do=0.0 act=ReLU",0.8362590518744681,0.04980656443341552
"MLP (512, 1024) lr=0.01 do=0.0 act=ReLU",0.835672732277686,0.0043864647854394145
"MLP (2048, 2048) lr=0.01 do=0.0 act=ReLU",0.8229066156321523,0.01834267983778276
kNN k=15 cosine,0.820535743426531,0.006679931278482321
kNN k=10 cosine,0.8170602863941262,0.00710844600543814
kNN k=20 cosine,0.811867268451965,0.0026301435628339753
kNN k=5 cosine,0.8115601753461579,0.01930516817407746
kNN k=20 euclidean,0.6955193872141758,0.024856295430778386
kNN k=15 euclidean,0.6290117381433775,0.012664809868609517
kNN k=5 euclidean,0.5814258808358602,0.005642334990162201
kNN k=10 euclidean,0.5806632774164353,0.016061046247269284
SVM C=0.1  gamma=scale  kernel=rbf,0.32465269808423236,0.022604051750295253
SVM C=0.01  gamma=scale  kernel=rbf,0.32465269808423236,0.022604051750295253
SVM C=0.01  gamma=auto  kernel=rbf,0.32445166576752327,0.01794174056880035
SVM C=0.1  gamma=auto  kernel=rbf,0.32445166576752327,0.01794174056880035
